plate_number,well_row,well_column,marker_symbol,mgi_gene_id,entrez_id,gene_product
53,M,20,Olfr559,MGI:3030393,259116,olfactory receptor family 51 subfamily A member 25
53,M,22,Olfr607,MGI:3030441,546989,olfactory receptor family 52 subfamily D member 13
53,M,24,Olfr607,MGI:3030441,546989,olfactory receptor family 52 subfamily D member 13
53,O,2,Olfr624,MGI:3030458,258189,olfactory receptor family 51 subfamily V member 8
53,O,4,Olfr624,MGI:3030458,258189,olfactory receptor family 51 subfamily V member 8
53,O,6,Olfr669,MGI:3030503,259045,olfactory receptor family 52 subfamily N member 5
53,O,8,Olfr669,MGI:3030503,259045,olfactory receptor family 52 subfamily N member 5
53,O,10,Olfr5,MGI:106685,18349,olfactory receptor family 6 subfamily Z member 7
53,O,12,Olfr5,MGI:106685,18349,olfactory receptor family 6 subfamily Z member 7
53,O,14,Olfr520,MGI:3030354,259066,olfactory receptor family 2 subfamily AT member 4
53,O,16,Olfr520,MGI:3030354,259066,olfactory receptor family 2 subfamily AT member 4
53,O,18,OMIT,,,
53,O,20,OMIT,,,
53,O,22,OMIT,,,
53,O,24,OMIT,,,
53,B,1,Tmem100,MGI:1915138,67888,transmembrane protein 100
53,B,3,Tmem100,MGI:1915138,67888,transmembrane protein 100
53,B,5,Taf6l,MGI:2444957,225895,TATA-box binding protein associated factor 6 like
53,B,7,Taf6l,MGI:2444957,225895,TATA-box binding protein associated factor 6 like
53,B,9,Tbr1,MGI:107404,21375,T-box brain transcription factor 1
53,B,11,Tbr1,MGI:107404,21375,T-box brain transcription factor 1
53,B,13,Tcf19,MGI:103180,106795,transcription factor 19
53,B,15,Tcf19,MGI:103180,106795,transcription factor 19
53,B,17,Tcte1,MGI:98640,21645,t-complex-associated testis expressed 1
53,B,19,Tcte1,MGI:98640,21645,t-complex-associated testis expressed 1
53,B,21,Tenc1,MGI:2387586,209039,tensin 2
53,B,23,Tenc1,MGI:2387586,209039,tensin 2
53,D,1,Tfcp2l1,MGI:2444691,81879,transcription factor CP2-like 1
53,D,3,Tfcp2l1,MGI:2444691,81879,transcription factor CP2-like 1
53,D,5,Themis3,MGI:1921806,74556,thymocyte selection associated family member 3
53,D,7,Themis3,MGI:1921806,74556,thymocyte selection associated family member 3
53,D,9,Tjap1,MGI:1921344,74094,tight junction associated protein 1
53,D,11,Tjap1,MGI:1921344,74094,tight junction associated protein 1
53,D,13,Tmem102,MGI:1921591,380705,transmembrane protein 102
53,D,15,Tmem102,MGI:1921591,380705,transmembrane protein 102
53,D,17,Taar7b,MGI:3527438,209517,trace amine-associated receptor 7B
53,D,19,Taar7b,MGI:3527438,209517,trace amine-associated receptor 7B
53,D,21,Taf7l,MGI:1921719,74469,TATA-box binding protein associated factor 7 like
53,D,23,Taf7l,MGI:1921719,74469,TATA-box binding protein associated factor 7 like
53,F,1,Tbx1,MGI:98493,21380,T-box 1
53,F,3,Tbx1,MGI:98493,21380,T-box 1
53,F,5,Tcf21,MGI:1202715,21412,transcription factor 21
53,F,7,Tcf21,MGI:1202715,21412,transcription factor 21
53,F,9,Tcte2,MGI:98641,21646,t-complex-associated testis expressed 2
53,F,11,Tcte2,MGI:98641,21646,t-complex-associated testis expressed 2
53,F,13,Tenm2,MGI:1345184,23964,teneurin transmembrane protein 2
53,F,15,Tenm2,MGI:1345184,23964,teneurin transmembrane protein 2
53,F,17,Tfeb,MGI:103270,21425,transcription factor EB
53,F,19,Tfeb,MGI:103270,21425,transcription factor EB
53,F,21,Thpo,MGI:101875,21832,thrombopoietin
53,F,23,Thpo,MGI:101875,21832,thrombopoietin
53,H,1,Tjp3,MGI:1351650,27375,tight junction protein 3
53,H,3,Tjp3,MGI:1351650,27375,tight junction protein 3
53,H,5,Tmem104,MGI:2444222,320534,transmembrane protein 104
53,H,7,Tmem104,MGI:2444222,320534,transmembrane protein 104
53,H,9,Tmem235,MGI:3651706,546519,transmembrane protein 235
53,H,11,Tmem235,MGI:3651706,546519,transmembrane protein 235
53,H,13,Tmem37,MGI:2157899,170706,transmembrane protein 37
53,H,15,Tmem37,MGI:2157899,170706,transmembrane protein 37
53,H,17,Taar7d,MGI:3527443,435206,trace amine-associated receptor 7D
53,H,19,Taar7d,MGI:3527443,435206,trace amine-associated receptor 7D
53,H,21,Tagap1,MGI:1919786,380608,T cell activation GTPase activating protein 1
53,H,23,Tagap1,MGI:1919786,380608,T cell activation GTPase activating protein 1
53,J,1,Tbx10,MGI:1261436,109575,T-box 10
53,J,3,Tbx10,MGI:1261436,109575,T-box 10
53,J,5,Tcf7,MGI:98507,21414,"transcription factor 7, T cell specific"
53,J,7,Tcf7,MGI:98507,21414,"transcription factor 7, T cell specific"
53,J,9,Tep1,MGI:109573,21745,telomerase associated protein 1
53,J,11,Tep1,MGI:109573,21745,telomerase associated protein 1
53,J,13,Tff1,MGI:88135,21784,trefoil factor 1
53,J,15,Tff1,MGI:88135,21784,trefoil factor 1
53,J,17,Thrb,MGI:98743,21834,thyroid hormone receptor beta
53,J,19,Thrb,MGI:98743,21834,thyroid hormone receptor beta
53,J,21,Tk1,MGI:98763,21877,thymidine kinase 1
53,J,23,Tk1,MGI:98763,21877,thymidine kinase 1
53,L,1,Tmem106a,MGI:1922056,217203,transmembrane protein 106A
53,L,3,Tmem106a,MGI:1922056,217203,transmembrane protein 106A
53,L,5,OMIT,,,
53,L,7,OMIT,,,
53,L,9,Tmem237,MGI:2138365,381259,transmembrane protein 237
53,L,11,Tmem237,MGI:2138365,381259,transmembrane protein 237
53,L,13,Tmem45a,MGI:1913122,56277,transmembrane protein 45a
53,L,15,Tmem45a,MGI:1913122,56277,transmembrane protein 45a
53,L,17,Taar7e,MGI:3527445,276742,trace amine-associated receptor 7E
