plate_number,well_row,well_column,marker_symbol,mgi_gene_id,entrez_id,gene_product
52,D,5,Fam217a,MGI:1919114,71864,"family with sequence similarity 217, member A"
52,D,7,Fam217a,MGI:1919114,71864,"family with sequence similarity 217, member A"
52,D,9,Emc9,MGI:1934682,85308,ER membrane protein complex subunit 9
52,D,11,Emc9,MGI:1934682,85308,ER membrane protein complex subunit 9
52,D,13,E130012A19Rik,MGI:2143991,103551,elongin BC and polycomb repressive complex 2 associated protein
52,D,15,E130012A19Rik,MGI:2143991,103551,elongin BC and polycomb repressive complex 2 associated protein
52,D,17,Eif2d,MGI:109342,16865,eukaryotic translation initiation factor 2D
52,D,19,Eif2d,MGI:109342,16865,eukaryotic translation initiation factor 2D
52,D,21,Fam150a,MGI:3645495,620393,ALK and LTK ligand 1
52,D,23,Fam150a,MGI:3645495,620393,ALK and LTK ligand 1
52,F,1,Fam150b,MGI:3697448,100294583,ALK and LTK ligand 2
52,F,3,Fam150b,MGI:3697448,100294583,ALK and LTK ligand 2
52,F,5,Fam196b,MGI:3643491,574403,inhibitory synaptic factor family member 2B
52,F,7,Fam196b,MGI:3643491,574403,inhibitory synaptic factor family member 2B
52,F,9,Fam3b,MGI:1270150,52793,FAM3 metabolism regulating signaling molecule B
52,F,11,Fam3b,MGI:1270150,52793,FAM3 metabolism regulating signaling molecule B
52,F,13,Ear14,MGI:3528616,503847,"eosinophil-associated, ribonuclease A family, member 14"
52,F,15,Ear14,MGI:3528616,503847,"eosinophil-associated, ribonuclease A family, member 14"
52,F,17,Efcab4a,MGI:2446129,213573,calcium release activated channel regulator 2B
52,F,19,Efcab4a,MGI:2446129,213573,calcium release activated channel regulator 2B
